"num_step"	"brunneaA"	"brunneaB"	"deplanataA"	"deplanataB"	"kauaiensisA"	"kauaiensisB"	"mauiensisA"	"mauiensisB"	"molokaiensisA"	"molokaiensisB"	"nihoaA"	"nihoaB"	"nitidaA"	"nitidaC"	"nitidaB"	"parvulaA"	"parvulaB"	"pilimauiensisA"	"pilimauiensisB"	"unicaA"	"unicaB"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"
1310	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1320	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1330	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1340	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1350	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1360	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1370	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1380	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1390	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1400	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1410	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1420	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1430	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
